horizontal,vertical,label,movement_type
1.47,0.78,2,D
1.49,0.73,2,D
1.48,0.7,2,D
1.46,0.77,2,D
1.48,0.75,2,D
1.49,0.69,2,D
1.47,0.74,2,D
1.48,0.77,2,D
1.51,0.71,2,D
1.49,0.73,2,D
1.48,0.79,2,D
1.51,0.73,2,D
1.5,0.71,2,D
1.48,0.77,2,D
1.5,0.75,2,D
1.51,0.7,2,D
1.49,0.76,2,D
1.5,0.78,2,D
1.52,0.71,2,D
1.5,0.73,2,D
1.49,0.79,2,D
1.51,0.73,2,D
1.51,0.71,2,D
1.49,0.79,2,D
1.5,0.77,2,D
1.52,0.71,2,D
1.49,0.76,2,D
1.5,0.78,2,D
1.51,0.7,2,D
1.49,0.72,2,D
1.48,0.78,2,D
1.51,0.73,2,D
1.5,0.71,2,D
1.48,0.78,2,D
1.5,0.76,2,D
1.51,0.7,2,D
1.48,0.75,2,D
1.48,0.78,2,D
1.5,0.71,2,D
1.49,0.73,2,D
1.47,0.79,2,D
1.5,0.73,2,D
1.49,0.71,2,D
1.48,0.79,2,D
1.49,0.77,2,D
1.5,0.72,2,D
1.48,0.78,2,D
1.49,0.8,2,D
1.5,0.73,2,D
1.49,0.75,2,D
1.48,0.81,2,D
1.5,0.75,2,D
1.5,0.72,2,D
1.48,0.8,2,D
1.5,0.78,2,D
1.52,0.73,2,D
1.49,0.78,2,D
1.5,0.8,2,D
1.52,0.73,2,D
1.51,0.75,2,D
1.5,0.81,2,D
1.53,0.76,2,D
1.52,0.74,2,D
1.51,0.82,2,D
1.52,0.8,2,D
1.54,0.74,2,D
1.51,0.79,2,D
1.52,0.81,2,D
1.53,0.74,2,D
1.52,0.76,2,D
1.5,0.82,2,D
1.53,0.77,2,D
1.53,0.75,2,D
1.52,0.82,2,D
1.53,0.79,2,D
1.55,0.73,2,D
1.52,0.78,2,D
1.53,0.8,2,D
1.55,0.73,2,D
1.53,0.76,2,D
1.51,0.82,2,D
1.54,0.76,2,D
1.53,0.74,2,D
1.51,0.81,2,D
1.52,0.79,2,D
1.54,0.74,2,D
1.51,0.79,2,D
1.52,0.82,2,D
1.54,0.75,2,D
1.53,0.77,2,D
1.52,0.82,2,D
1.55,0.76,2,D
1.54,0.74,2,D
1.52,0.81,2,D
1.54,0.79,2,D
1.55,0.74,2,D
1.52,0.79,2,D
1.53,0.82,2,D
1.55,0.75,2,D
1.54,0.77,2,D
1.52,0.83,2,D
1.56,0.77,2,D
1.55,0.75,2,D
1.53,0.82,2,D
1.55,0.79,2,D
1.56,0.74,2,D
1.53,0.8,2,D
1.54,0.82,2,D
1.56,0.75,2,D
1.55,0.78,2,D
1.54,0.83,2,D
1.56,0.78,2,D
1.56,0.76,2,D
1.54,0.83,2,D
1.55,0.81,2,D
1.56,0.75,2,D
1.53,0.81,2,D
1.53,0.83,2,D
1.55,0.76,2,D
1.53,0.79,2,D
1.52,0.84,2,D
1.55,0.78,2,D
1.54,0.76,2,D
1.53,0.83,2,D
1.54,0.81,2,D
1.55,0.76,2,D
1.52,0.82,2,D
1.53,0.84,2,D
1.55,0.77,2,D
1.53,0.8,2,D
1.52,0.85,2,D
1.55,0.79,2,D
1.54,0.77,2,D
1.52,0.84,2,D
1.53,0.81,2,D
1.54,0.76,2,D
1.51,0.83,2,D
1.52,0.85,2,D
1.54,0.78,2,D
1.53,0.8,2,D
1.51,0.86,2,D
1.55,0.8,2,D
1.54,0.79,2,D
1.52,0.86,2,D
1.54,0.84,2,D
1.55,0.79,2,D
1.52,0.85,2,D
1.53,0.87,2,D
1.54,0.8,2,D
1.54,0.83,2,D
1.53,0.88,2,D
1.56,0.84,2,D
1.56,0.81,2,D
1.54,0.89,2,D
1.56,0.87,2,D
1.57,0.82,2,D
1.54,0.87,2,D
1.55,0.89,2,D
