horizontal,vertical,label,movement_type
1.52,0.49,2,P
1.53,0.51,2,P
1.54,0.42,2,P
1.52,0.45,2,P
1.51,0.52,2,P
1.52,0.45,2,P
1.52,0.43,2,P
1.51,0.51,2,P
1.5,0.48,2,P
1.51,0.41,2,P
1.48,0.48,2,P
1.48,0.5,2,P
1.49,0.41,2,P
1.49,0.44,2,P
1.49,0.5,2,P
1.51,0.43,2,P
1.49,0.4,2,P
1.48,0.49,2,P
1.47,0.45,2,P
1.47,0.39,2,P
1.46,0.46,2,P
1.48,0.48,2,P
1.49,0.39,2,P
1.48,0.42,2,P
1.48,0.48,2,P
1.5,0.41,2,P
1.49,0.38,2,P
1.49,0.46,2,P
1.51,0.43,2,P
1.52,0.37,2,P
1.5,0.43,2,P
1.5,0.45,2,P
1.52,0.36,2,P
1.51,0.38,2,P
1.49,0.44,2,P
1.51,0.36,2,P
1.51,0.33,2,P
1.49,0.4,2,P
1.48,0.35,2,P
1.5,0.27,2,P
1.51,0.3,2,P
1.53,0.29,2,P
1.55,0.21,2,P
1.58,0.21,2,P
1.61,0.24,2,P
1.63,0.16,2,P
1.65,0.12,2,P
1.68,0.17,2,P
1.71,0.13,2,P
1.73,0.09,2,P
1.73,0.15,2,P
1.75,0.17,2,P
1.77,0.13,2,P
1.77,0.17,2,P
1.79,0.22,2,P
1.81,0.16,2,P
1.81,0.15,2,P
1.8,0.22,2,P
1.8,0.21,2,P
1.81,0.16,2,P
1.82,0.25,2,P
1.83,0.29,2,P
1.86,0.22,2,P
1.86,0.27,2,P
1.86,0.34,2,P
1.87,0.28,2,P
1.87,0.27,2,P
1.85,0.35,2,P
1.85,0.32,2,P
1.85,0.27,2,P
1.82,0.35,2,P
1.81,0.38,2,P
1.82,0.3,2,P
1.82,0.35,2,P
1.81,0.42,2,P
1.84,0.35,2,P
1.83,0.34,2,P
1.82,0.43,2,P
1.82,0.4,2,P
1.82,0.33,2,P
1.79,0.41,2,P
1.79,0.43,2,P
1.79,0.34,2,P
1.78,0.38,2,P
1.78,0.45,2,P
1.81,0.38,2,P
1.8,0.37,2,P
1.79,0.46,2,P
1.78,0.43,2,P
1.79,0.36,2,P
1.76,0.43,2,P
1.79,0.45,2,P
1.8,0.36,2,P
1.79,0.4,2,P
1.77,0.46,2,P
1.79,0.39,2,P
1.76,0.37,2,P
1.75,0.45,2,P
1.78,0.42,2,P
1.79,0.35,2,P
1.79,0.43,2,P
1.8,0.45,2,P
1.82,0.36,2,P
1.79,0.39,2,P
1.79,0.46,2,P
1.79,0.38,2,P
1.78,0.37,2,P
1.76,0.45,2,P
1.76,0.42,2,P
1.76,0.36,2,P
1.75,0.44,2,P
1.75,0.46,2,P
1.75,0.39,2,P
1.74,0.42,2,P
1.73,0.49,2,P
1.74,0.41,2,P
1.7,0.4,2,P
1.7,0.49,2,P
1.71,0.46,2,P
1.72,0.39,2,P
1.68,0.47,2,P
1.69,0.48,2,P
1.69,0.39,2,P
1.67,0.43,2,P
1.67,0.5,2,P
1.71,0.42,2,P
1.72,0.41,2,P
1.71,0.49,2,P
1.72,0.46,2,P
1.71,0.4,2,P
1.69,0.48,2,P
1.69,0.49,2,P
1.7,0.41,2,P
1.69,0.45,2,P
1.69,0.51,2,P
1.7,0.43,2,P
1.72,0.42,2,P
1.7,0.51,2,P
1.7,0.48,2,P
1.71,0.42,2,P
1.69,0.49,2,P
1.65,0.51,2,P
1.65,0.42,2,P
1.64,0.45,2,P
1.64,0.52,2,P
1.66,0.44,2,P
1.67,0.43,2,P
1.68,0.51,2,P
1.69,0.47,2,P
1.67,0.4,2,P
1.64,0.49,2,P
1.65,0.51,2,P
1.64,0.43,2,P
1.62,0.47,2,P
1.62,0.53,2,P
1.64,0.46,2,P
1.63,0.45,2,P
1.63,0.54,2,P
1.64,0.5,2,P
1.64,0.44,2,P
1.61,0.51,2,P
1.6,0.53,2,P
1.59,0.44,2,P
1.6,0.47,2,P
1.59,0.54,2,P
1.62,0.47,2,P
1.63,0.46,2,P
1.61,0.54,2,P
1.62,0.51,2,P
1.62,0.45,2,P
1.59,0.53,2,P
1.59,0.54,2,P
1.62,0.46,2,P
1.62,0.5,2,P
1.62,0.57,2,P
1.63,0.48,2,P
1.61,0.48,2,P
1.59,0.56,2,P
1.58,0.52,2,P
1.58,0.46,2,P
1.58,0.54,2,P
1.58,0.55,2,P
1.57,0.46,2,P
1.57,0.5,2,P
1.57,0.56,2,P
1.58,0.48,2,P
1.59,0.47,2,P
1.6,0.56,2,P
1.58,0.52,2,P
1.59,0.47,2,P
1.57,0.55,2,P
1.59,0.56,2,P
1.59,0.47,2,P
1.62,0.51,2,P
1.6,0.57,2,P
1.6,0.49,2,P
1.56,0.48,2,P
1.53,0.57,2,P
1.52,0.54,2,P
1.53,0.48,2,P
1.52,0.57,2,P
1.52,0.58,2,P
1.56,0.49,2,P
1.54,0.53,2,P
1.52,0.6,2,P
1.56,0.51,2,P
1.56,0.5,2,P
1.54,0.58,2,P
1.56,0.54,2,P
1.57,0.47,2,P
1.55,0.55,2,P
1.54,0.56,2,P
1.53,0.48,2,P
1.52,0.52,2,P
1.53,0.59,2,P
1.54,0.51,2,P
1.55,0.5,2,P
1.57,0.59,2,P
1.58,0.56,2,P
1.56,0.49,2,P
1.53,0.58,2,P
1.54,0.59,2,P
1.54,0.5,2,P
1.53,0.54,2,P
1.54,0.6,2,P
1.55,0.51,2,P
1.54,0.51,2,P
1.53,0.6,2,P
1.54,0.56,2,P
1.54,0.5,2,P
1.54,0.58,2,P
1.53,0.59,2,P
1.54,0.5,2,P
1.53,0.54,2,P
1.54,0.6,2,P
1.56,0.52,2,P
1.56,0.51,2,P
1.55,0.6,2,P
1.56,0.55,2,P
1.54,0.5,2,P
1.54,0.58,2,P
1.53,0.59,2,P
1.54,0.5,2,P
1.52,0.54,2,P
1.51,0.6,2,P
1.52,0.52,2,P
1.53,0.51,2,P
1.52,0.59,2,P
1.52,0.55,2,P
1.53,0.49,2,P
1.5,0.57,2,P
1.49,0.58,2,P
1.49,0.5,2,P
1.49,0.54,2,P
1.48,0.6,2,P
1.48,0.52,2,P
1.49,0.51,2,P
1.48,0.6,2,P
1.48,0.56,2,P
1.48,0.51,2,P
1.47,0.59,2,P
1.49,0.6,2,P
1.51,0.52,2,P
1.5,0.56,2,P
1.5,0.62,2,P
1.53,0.54,2,P
1.52,0.53,2,P
1.5,0.61,2,P
1.52,0.57,2,P
1.51,0.52,2,P
1.48,0.6,2,P
1.48,0.61,2,P
1.48,0.53,2,P
1.48,0.57,2,P
1.48,0.63,2,P
1.51,0.54,2,P
1.5,0.54,2,P
1.5,0.62,2,P
1.5,0.58,2,P
1.5,0.53,2,P
1.48,0.61,2,P
1.48,0.62,2,P
1.49,0.54,2,P
1.48,0.58,2,P
1.48,0.64,2,P
1.48,0.55,2,P
1.49,0.55,2,P
1.48,0.63,2,P
1.5,0.59,2,P
1.48,0.53,2,P
1.48,0.62,2,P
1.47,0.63,2,P
1.47,0.55,2,P
1.47,0.6,2,P
1.48,0.66,2,P
1.5,0.57,2,P
1.5,0.57,2,P
1.49,0.65,2,P
1.49,0.61,2,P
1.47,0.56,2,P
1.46,0.66,2,P
1.46,0.66,2,P
1.45,0.58,2,P
1.44,0.63,2,P
