horizontal,vertical,label
1.69,1.03,2
1.7,1.06,2
1.71,0.95,2
1.7,0.98,2
1.69,1.07,2
1.71,0.99,2
1.7,0.96,2
1.69,1.07,2
1.7,1.04,2
1.7,0.95,2
1.69,1.04,2
1.7,1.06,2
1.7,0.96,2
1.7,0.99,2
1.7,1.08,2
1.71,0.99,2
1.7,0.96,2
1.7,1.06,2
1.71,1.03,2
1.71,0.94,2
1.69,1.03,2
1.7,1.06,2
1.7,0.95,2
1.7,0.98,2
1.7,1.06,2
1.71,0.97,2
1.71,0.94,2
1.7,1.05,2
1.71,1.02,2
1.71,0.93,2
1.7,1.02,2
1.71,1.05,2
1.71,0.94,2
1.7,0.97,2
1.7,1.06,2
1.72,0.97,2
1.71,0.94,2
1.7,1.05,2
1.7,1.01,2
1.7,0.92,2
1.68,1.01,2
1.69,1.04,2
1.7,0.93,2
1.69,0.96,2
1.69,1.05,2
1.71,0.95,2
1.71,0.92,2
1.7,1.03,2
1.71,0.99,2
1.72,0.91,2
1.7,1.0,2
1.7,1.02,2
1.71,0.91,2
1.7,0.94,2
1.7,1.03,2
1.72,0.94,2
1.71,0.91,2
1.7,1.02,2
1.72,0.98,2
1.72,0.9,2
1.7,0.98,2
1.71,1.01,2
1.71,0.9,2
1.7,0.94,2
1.7,1.03,2
1.72,0.94,2
1.71,0.91,2
1.7,1.02,2
1.71,0.98,2
1.71,0.9,2
1.69,0.99,2
1.7,1.01,2
1.7,0.9,2
1.7,0.94,2
1.69,1.02,2
1.71,0.93,2
1.7,0.9,2
1.7,1.0,2
1.7,0.96,2
1.71,0.87,2
1.69,0.96,2
1.69,0.99,2
1.7,0.88,2
1.69,0.92,2
1.68,1.0,2
1.7,0.91,2
1.69,0.88,2
1.69,0.99,2
1.7,0.95,2
1.7,0.87,2
1.68,0.96,2
1.69,0.98,2
1.69,0.87,2
1.68,0.91,2
1.67,0.99,2
1.69,0.9,2
1.68,0.88,2
1.67,0.98,2
1.68,0.95,2
1.68,0.86,2
1.66,0.94,2
1.67,0.97,2
1.67,0.86,2
1.66,0.9,2
1.66,0.99,2
1.67,0.9,2
1.67,0.87,2
1.66,0.98,2
1.68,0.95,2
1.68,0.86,2
1.66,0.95,2
1.67,0.97,2
1.67,0.87,2
1.65,0.9,2
1.65,0.98,2
1.67,0.89,2
1.66,0.86,2
1.65,0.97,2
1.66,0.93,2
1.66,0.85,2
1.64,0.93,2
1.65,0.96,2
1.65,0.85,2
1.65,0.89,2
1.65,0.97,2
1.67,0.89,2
1.66,0.86,2
1.66,0.97,2
1.67,0.93,2
1.67,0.85,2
1.65,0.93,2
1.66,0.96,2
1.66,0.85,2
1.65,0.89,2
1.65,0.98,2
1.67,0.89,2
1.66,0.87,2
1.66,0.97,2
1.67,0.93,2
1.67,0.85,2
1.65,0.93,2
1.66,0.96,2
1.66,0.85,2
1.65,0.88,2
1.65,0.96,2
1.66,0.88,2
1.65,0.86,2
1.64,0.96,2
1.65,0.93,2
1.66,0.84,2
1.64,0.92,2
1.65,0.95,2
1.65,0.84,2
1.64,0.88,2
1.64,0.96,2
1.66,0.88,2
1.65,0.85,2
1.65,0.96,2
1.66,0.92,2
1.66,0.84,2
1.64,0.92,2
1.65,0.95,2
1.65,0.84,2
1.65,0.88,2
1.65,0.96,2
1.66,0.87,2
1.66,0.85,2
1.65,0.96,2
1.66,0.92,2
1.67,0.84,2
1.65,0.92,2
1.66,0.94,2
1.66,0.83,2
1.65,0.87,2
1.65,0.95,2
1.66,0.87,2
1.66,0.85,2
1.66,0.95,2
1.67,0.92,2
1.67,0.83,2
1.65,0.92,2
1.65,0.94,2
1.64,0.83,2
1.63,0.87,2
1.62,0.95,2
1.63,0.86,2
1.62,0.83,2
1.62,0.94,2
1.63,0.9,2
1.63,0.81,2
1.62,0.91,2
1.62,0.93,2
1.62,0.82,2
1.62,0.86,2
1.61,0.94,2
1.63,0.85,2
1.63,0.82,2
1.63,0.93,2
1.65,0.89,2
1.67,0.81,2
1.67,0.9,2
1.68,0.92,2
1.7,0.82,2
1.69,0.85,2
1.7,0.93,2
1.72,0.84,2
1.72,0.82,2
1.71,0.93,2
1.72,0.88,2
1.72,0.8,2
1.7,0.89,2
1.71,0.92,2
1.72,0.81,2
1.71,0.85,2
1.71,0.93,2
1.72,0.84,2
1.71,0.82,2
1.71,0.92,2
1.72,0.88,2
1.72,0.79,2
1.7,0.89,2
1.71,0.91,2
1.72,0.8,2
1.71,0.84,2
1.71,0.92,2
1.72,0.82,2
1.71,0.8,2
1.7,0.9,2
1.71,0.86,2
1.72,0.77,2
1.7,0.87,2
1.71,0.89,2
1.71,0.78,2
1.7,0.82,2
1.69,0.91,2
1.7,0.81,2
1.69,0.79,2
1.68,0.9,2
1.69,0.86,2
1.69,0.78,2
1.67,0.88,2
1.68,0.9,2
1.69,0.79,2
1.67,0.83,2
1.66,0.91,2
1.68,0.81,2
1.66,0.79,2
1.66,0.9,2
1.67,0.87,2
1.67,0.79,2
1.66,0.89,2
1.66,0.91,2
1.67,0.81,2
1.65,0.85,2
1.65,0.94,2
1.67,0.85,2
1.66,0.83,2
1.66,0.94,2
1.67,0.91,2
1.66,0.83,2
1.65,0.92,2
1.65,0.94,2
1.65,0.84,2
1.63,0.88,2
1.63,0.96,2
