horizontal,vertical,label
1.49,1.07,2
1.5,0.99,2
1.49,0.99,2
1.48,1.07,2
1.49,1.02,2
1.49,0.97,2
1.48,1.06,2
1.48,1.06,2
1.49,0.98,2
1.49,1.02,2
1.49,1.07,2
1.5,0.99,2
1.5,1.0,2
1.49,1.08,2
1.5,1.03,2
1.5,0.98,2
1.49,1.06,2
1.49,1.06,2
1.49,0.98,2
1.48,1.03,2
1.49,1.08,2
1.5,1.0,2
1.49,1.0,2
1.49,1.07,2
1.5,1.03,2
1.49,0.98,2
1.48,1.06,2
1.48,1.06,2
1.49,0.98,2
1.48,1.02,2
1.48,1.07,2
1.49,0.99,2
1.48,0.99,2
1.48,1.07,2
1.49,1.02,2
1.49,0.97,2
1.48,1.05,2
1.48,1.05,2
1.49,0.98,2
1.48,1.02,2
1.48,1.07,2
1.49,0.99,2
1.49,0.99,2
1.49,1.08,2
1.5,1.03,2
1.5,0.98,2
1.49,1.06,2
1.49,1.06,2
1.5,0.99,2
1.48,1.03,2
1.49,1.09,2
1.49,1.0,2
1.48,1.01,2
1.47,1.08,2
1.48,1.04,2
1.48,0.99,2
1.47,1.07,2
1.47,1.07,2
1.48,0.99,2
1.48,1.04,2
1.48,1.09,2
1.49,1.01,2
1.49,1.01,2
1.48,1.08,2
1.49,1.04,2
1.49,0.99,2
1.48,1.07,2
1.48,1.07,2
1.49,0.99,2
1.48,1.03,2
1.48,1.08,2
1.49,1.0,2
1.49,1.0,2
1.48,1.08,2
1.5,1.03,2
1.5,0.98,2
1.49,1.06,2
1.5,1.06,2
1.5,0.98,2
1.5,1.03,2
1.5,1.08,2
1.52,1.0,2
1.51,1.01,2
1.51,1.08,2
1.52,1.04,2
1.52,0.99,2
1.5,1.07,2
1.51,1.07,2
1.52,0.99,2
1.51,1.03,2
1.51,1.08,2
1.52,0.99,2
1.51,0.99,2
1.5,1.06,2
1.51,1.02,2
1.51,0.96,2
1.5,1.04,2
1.5,1.03,2
1.51,0.95,2
1.5,1.0,2
1.51,1.04,2
1.52,0.97,2
1.51,0.97,2
1.51,1.05,2
1.52,1.0,2
1.51,0.94,2
1.5,1.02,2
1.5,1.01,2
1.5,0.93,2
1.49,0.98,2
1.5,1.03,2
1.51,0.95,2
1.5,0.95,2
1.5,1.03,2
1.51,0.98,2
1.5,0.93,2
1.49,1.0,2
