horizontal,vertical,label
0.78,1.6,L
1.17,1.2,L
0.78,1.2,L
0.39,1.6,L
0.78,1.2,L
0.78,0.8,L
0.39,1.2,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
0.78,1.59,L
1.17,1.19,L
0.78,1.2,L
0.39,1.6,L
0.78,1.2,L
0.78,0.8,L
0.39,1.2,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
0.99,1.59,L
1.38,1.19,L
1.0,1.2,L
0.61,1.59,L
1.0,1.2,L
0.78,0.8,L
0.39,1.2,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.16,1.59,L
1.55,1.19,L
1.17,1.2,L
0.78,1.6,L
1.17,1.2,L
0.78,0.8,L
0.39,1.2,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.16,1.59,L
1.55,1.19,L
1.17,1.2,L
0.78,1.59,L
1.17,1.2,L
0.78,0.8,L
0.39,1.2,L
0.78,1.2,L
1.17,0.8,L
0.78,1.19,L
1.16,1.59,L
1.55,1.19,L
1.17,1.19,L
0.78,1.59,L
1.17,1.19,L
0.78,0.8,L
0.39,1.2,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.16,1.59,L
1.55,1.19,L
1.17,1.19,L
0.78,1.59,L
1.17,1.19,L
0.78,1.2,L
0.39,1.6,L
0.78,1.6,L
1.17,1.2,L
0.78,1.6,L
1.16,1.59,L
1.55,1.19,L
1.17,1.2,L
0.78,1.59,L
1.17,1.2,L
0.78,1.2,L
0.39,1.6,L
0.78,1.59,L
1.17,1.2,L
0.78,1.59,L
1.16,1.59,L
1.55,1.19,L
1.17,1.19,L
0.78,1.59,L
1.17,1.2,L
0.78,1.2,L
0.39,1.6,L
0.78,1.59,L
1.17,1.2,L
0.78,1.59,L
1.16,1.59,L
1.55,1.19,L
1.17,1.2,L
0.78,1.59,L
1.17,1.2,L
0.78,1.2,L
0.39,1.6,L
0.78,1.59,L
1.17,1.2,L
0.78,1.59,L
1.16,1.59,L
1.55,1.19,L
1.17,1.2,L
0.78,1.59,L
1.17,1.19,L
0.78,1.2,L
0.39,1.6,L
0.78,1.59,L
1.17,1.2,L
0.78,1.59,L
1.16,1.59,L
1.55,1.19,L
1.17,1.19,L
0.78,1.59,L
1.17,1.19,L
0.78,1.2,L
0.39,1.6,L
0.78,1.59,L
1.17,1.2,L
0.78,1.59,L
1.16,1.59,L
1.55,1.19,L
1.17,1.2,L
0.78,1.59,L
1.17,1.2,L
0.78,1.2,L
0.39,1.6,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.16,1.19,L
1.55,0.8,L
1.17,1.19,L
0.78,1.59,L
1.17,1.19,L
0.78,1.2,L
0.39,1.59,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.16,1.19,L
1.55,0.8,L
1.17,1.19,L
0.78,1.59,L
1.17,1.2,L
0.78,1.2,L
0.39,1.6,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.17,1.19,L
1.55,0.8,L
1.17,1.19,L
0.78,1.59,L
1.17,1.19,L
0.78,1.2,L
0.39,1.6,L
0.78,1.2,L
1.17,0.8,L
0.78,1.2,L
1.17,1.19,L
1.55,0.8,L
