horizontal,vertical,label
1.22,0.43,34
1.22,0.55,34
1.23,0.5,34
1.22,0.42,34
1.2,0.52,34
1.21,0.54,34
1.21,0.43,34
1.2,0.47,34
1.2,0.56,34
1.22,0.45,34
1.21,0.43,34
1.21,0.54,34
1.22,0.5,34
1.22,0.41,34
1.21,0.52,34
1.21,0.54,34
1.21,0.42,34
1.2,0.47,34
1.2,0.56,34
1.21,0.46,34
1.2,0.44,34
1.19,0.55,34
1.2,0.5,34
1.2,0.42,34
1.18,0.52,34
1.19,0.54,34
1.19,0.42,34
1.19,0.47,34
1.2,0.55,34
1.22,0.45,34
1.21,0.42,34
1.22,0.53,34
1.23,0.49,34
1.23,0.4,34
1.22,0.5,34
1.23,0.52,34
1.23,0.41,34
1.22,0.45,34
1.22,0.53,34
1.22,0.43,34
1.21,0.41,34
1.21,0.52,34
1.22,0.49,34
1.22,0.4,34
1.21,0.5,34
1.21,0.53,34
1.21,0.41,34
1.2,0.45,34
1.2,0.54,34
1.21,0.44,34
1.2,0.42,34
1.2,0.54,34
1.21,0.49,34
1.21,0.4,34
1.2,0.5,34
1.21,0.53,34
1.21,0.41,34
1.2,0.45,34
1.2,0.54,34
1.22,0.44,34
1.21,0.42,34
1.21,0.53,34
1.22,0.49,34
1.22,0.4,34
1.21,0.5,34
1.22,0.52,34
1.22,0.41,34
1.21,0.44,34
1.22,0.54,34
1.23,0.44,34
1.22,0.41,34
1.22,0.53,34
1.24,0.49,34
1.24,0.4,34
1.23,0.5,34
1.24,0.53,34
1.24,0.42,34
1.23,0.46,34
1.23,0.55,34
1.24,0.46,34
1.23,0.43,34
1.23,0.55,34
1.24,0.51,34
1.25,0.42,34
1.23,0.52,34
1.24,0.55,34
1.25,0.43,34
1.24,0.46,34
1.24,0.56,34
1.25,0.46,34
1.24,0.43,34
1.24,0.55,34
1.25,0.52,34
1.25,0.42,34
1.24,0.52,34
1.25,0.55,34
1.26,0.43,34
1.24,0.47,34
1.24,0.57,34
1.25,0.47,34
1.24,0.44,34
1.24,0.56,34
1.25,0.52,34
1.25,0.43,34
1.24,0.53,34
1.25,0.56,34
1.25,0.45,34
1.24,0.48,34
1.24,0.58,34
1.25,0.48,34
1.25,0.45,34
1.24,0.57,34
1.25,0.54,34
1.25,0.45,34
1.23,0.55,34
1.24,0.59,34
1.24,0.47,34
1.23,0.51,34
1.23,0.61,34
1.25,0.52,34
1.24,0.48,34
1.24,0.6,34
1.25,0.57,34
1.25,0.47,34
1.24,0.56,34
1.25,0.6,34
1.25,0.48,34
1.24,0.51,34
1.24,0.61,34
1.26,0.51,34
1.25,0.47,34
1.25,0.59,34
1.26,0.56,34
1.25,0.46,34
1.24,0.55,34
1.25,0.59,34
1.25,0.47,34
1.23,0.5,34
1.24,0.6,34
1.25,0.52,34
1.24,0.48,34
1.24,0.6,34
1.25,0.57,34
1.25,0.47,34
1.24,0.57,34
1.25,0.61,34
1.26,0.49,34
1.24,0.52,34
1.25,0.62,34
1.26,0.53,34
1.25,0.48,34
1.25,0.61,34
1.26,0.58,34
1.26,0.48,34
1.24,0.56,34
1.25,0.61,34
1.25,0.48,34
1.24,0.51,34
1.24,0.61,34
1.26,0.52,34
1.25,0.48,34
1.24,0.6,34
1.25,0.57,34
1.25,0.47,34
1.23,0.56,34
1.25,0.61,34
1.25,0.48,34
1.24,0.51,34
1.24,0.61,34
1.26,0.53,34
1.25,0.48,34
1.25,0.6,34
1.26,0.58,34
1.26,0.48,34
1.24,0.56,34
1.25,0.61,34
1.25,0.48,34
1.24,0.51,34
1.24,0.61,34
1.26,0.53,34
1.24,0.48,34
1.24,0.6,34
1.26,0.58,34
1.26,0.47,34
1.24,0.56,34
1.26,0.6,34
1.26,0.48,34
1.25,0.5,34
1.26,0.61,34
1.27,0.52,34
1.26,0.47,34
1.26,0.6,34
1.28,0.58,34
1.27,0.47,34
1.26,0.55,34
1.27,0.6,34
1.28,0.48,34
1.26,0.5,34
1.27,0.61,34
1.28,0.53,34
1.26,0.48,34
1.26,0.6,34
1.27,0.58,34
1.27,0.47,34
1.25,0.55,34
1.27,0.61,34
1.27,0.49,34
1.26,0.5,34
1.26,0.61,34
1.28,0.53,34
1.26,0.48,34
1.26,0.6,34
1.27,0.58,34
1.27,0.48,34
1.26,0.56,34
1.28,0.62,34
1.29,0.5,34
1.28,0.52,34
1.28,0.62,34
1.3,0.55,34
1.28,0.49,34
1.28,0.61,34
1.29,0.6,34
1.29,0.49,34
1.27,0.57,34
1.29,0.62,34
1.29,0.5,34
1.28,0.52,34
1.28,0.63,34
1.3,0.55,34
1.28,0.5,34
1.27,0.62,34
1.28,0.6,34
1.28,0.49,34
1.27,0.57,34
1.28,0.63,34
1.29,0.51,34
1.27,0.52,34
1.28,0.63,34
1.29,0.56,34
1.27,0.49,34
1.27,0.61,34
1.28,0.6,34
1.28,0.5,34
1.27,0.58,34
1.29,0.64,34
1.29,0.53,34
1.28,0.54,34
1.28,0.65,34
1.29,0.58,34
1.27,0.52,34
1.27,0.64,34
1.28,0.63,34
1.28,0.53,34
1.27,0.6,34
1.29,0.66,34
1.29,0.55,34
1.28,0.56,34
1.29,0.67,34
1.3,0.6,34
1.29,0.54,34
1.28,0.66,34
1.3,0.65,34
1.3,0.54,34
1.29,0.61,34
1.3,0.68,34
1.31,0.56,34
1.29,0.57,34
1.29,0.68,34
1.31,0.61,34
1.29,0.54,34
1.29,0.67,34
1.3,0.66,34
1.3,0.55,34
1.29,0.63,34
1.3,0.7,34
1.31,0.58,34
1.3,0.59,34
1.3,0.7,34
1.31,0.64,34
1.29,0.57,34
1.29,0.69,34
1.3,0.7,34
1.3,0.59,34
1.29,0.66,34
1.31,0.73,34
1.32,0.61,34
1.31,0.61,34
1.31,0.72,34
1.32,0.66,34
1.3,0.59,34
1.3,0.71,34
1.31,0.71,34
1.31,0.6,34
1.3,0.66,34
1.32,0.73,34
1.33,0.61,34
1.32,0.61,34
1.33,0.72,34
1.34,0.66,34
1.32,0.59,34
1.31,0.71,34
1.32,0.71,34
1.32,0.6,34
1.31,0.67,34
1.32,0.75,34
1.34,0.63,34
1.33,0.63,34
1.33,0.74,34
1.34,0.68,34
1.33,0.62,34
1.32,0.74,34
1.32,0.75,34
1.32,0.63,34
1.31,0.7,34
1.32,0.77,34
1.33,0.66,34
1.32,0.65,34
1.32,0.77,34
1.33,0.71,34
1.31,0.64,34
1.3,0.76,34
1.31,0.77,34
1.31,0.66,34
1.3,0.72,34
1.32,0.8,34
1.33,0.69,34
1.33,0.67,34
1.33,0.79,34
1.34,0.73,34
1.33,0.65,34
1.32,0.77,34
1.33,0.78,34
1.33,0.66,34
1.32,0.72,34
1.34,0.8,34
1.35,0.69,34
1.34,0.68,34
1.34,0.8,34
1.36,0.75,34
1.35,0.67,34
1.34,0.78,34
1.35,0.8,34
1.36,0.69,34
1.35,0.75,34
1.36,0.83,34
1.37,0.72,34
1.35,0.7,34
1.35,0.82,34
1.36,0.76,34
1.36,0.68,34
1.35,0.8,34
1.36,0.82,34
1.36,0.71,34
1.35,0.76,34
1.36,0.84,34
1.37,0.73,34
1.36,0.72,34
1.36,0.84,34
1.37,0.78,34
1.37,0.71,34
1.36,0.82,34
1.37,0.83,34
1.37,0.72,34
1.36,0.78,34
1.36,0.86,34
1.37,0.75,34
1.36,0.74,34
1.37,0.86,34
1.38,0.81,34
1.38,0.73,34
1.37,0.84,34
1.38,0.86,34
1.38,0.75,34
1.37,0.8,34
1.37,0.89,34
1.38,0.78,34
1.37,0.77,34
1.38,0.89,34
1.39,0.84,34
1.39,0.75,34
1.38,0.87,34
1.39,0.88,34
1.38,0.77,34
1.37,0.82,34
1.38,0.91,34
1.39,0.8,34
1.39,0.79,34
1.39,0.9,34
1.4,0.85,34
1.4,0.77,34
1.39,0.88,34
1.41,0.9,34
1.41,0.78,34
1.41,0.84,34
1.41,0.93,34
1.43,0.82,34
1.42,0.8,34
1.43,0.92,34
1.43,0.88,34
1.43,0.8,34
1.41,0.91,34
1.42,0.93,34
1.42,0.82,34
1.41,0.86,34
1.41,0.95,34
1.43,0.84,34
1.42,0.83,34
1.42,0.95,34
1.43,0.9,34
1.43,0.81,34
1.42,0.92,34
1.44,0.94,34
1.44,0.83,34
1.43,0.88,34
1.43,0.97,34
1.44,0.86,34
1.43,0.84,34
1.44,0.96,34
1.45,0.92,34
1.45,0.83,34
1.44,0.93,34
1.45,0.96,34
1.45,0.84,34
1.43,0.89,34
1.43,0.98,34
1.45,0.89,34
1.44,0.87,34
1.44,0.99,34
1.46,0.95,34
1.46,0.86,34
1.45,0.96,34
